ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
001872.SZ,20.54,20.67,20.41,20.47,20.54,-0.07,-0.3408,41597.84,85525.301
001872.SZ,20.59,20.74,20.38,20.54,20.59,-0.05,-0.2428,48233.96,99170.542
001872.SZ,20.58,20.66,20.41,20.59,20.56,0.03,0.1459,36627.69,75224.845
001872.SZ,20.79,20.88,20.42,20.56,20.79,-0.23,-1.1063,50101.66,102844.501
001872.SZ,20.75,20.88,20.5,20.79,20.81,-0.02,-0.0961,54870.61,113596.667
001872.SZ,20.44,20.82,20.32,20.81,20.42,0.39,1.9099,63047.82,129926.065
001872.SZ,20.23,20.68,20.2,20.42,20.22,0.2,0.9891,77569.28,158775.077
001872.SZ,20.15,20.24,20.03,20.22,20.15,0.07,0.3474,41288.07,83132.586
001872.SZ,20.45,20.6,19.96,20.15,20.57,-0.42,-2.0418,69438.71,140300.631
001872.SZ,20.48,20.99,20.46,20.57,20.25,0.32,1.5802,142972.61,296162.273
001872.SZ,20.2,20.54,20.16,20.25,20.22,0.03,0.1484,66324.71,134735.006
001872.SZ,19.97,20.4,19.91,20.22,19.91,0.31,1.557,96908.67,196073.031
001872.SZ,20.35,20.37,19.91,19.91,20.35,-0.44,-2.1622,89919.48,180461.736
001872.SZ,20.47,20.48,20.31,20.35,20.45,-0.1,-0.489,49171.0,100151.539
001872.SZ,20.58,20.7,20.4,20.45,20.58,-0.13,-0.6317,57995.71,118996.736
001872.SZ,21.09,21.1,20.51,20.58,20.67,-0.09,-0.4354,72140.96,149362.779
001872.SZ,20.91,20.99,20.61,20.67,20.81,-0.14,-0.6728,47741.79,99210.877
001872.SZ,20.67,21.02,20.63,20.81,20.62,0.19,0.9214,72189.65,150337.835
001872.SZ,20.95,21.15,20.52,20.62,20.96,-0.34,-1.6221,56524.0,117195.821
001872.SZ,20.76,21.1,20.58,20.96,20.76,0.2,0.9634,91910.0,191966.785
001872.SZ,20.22,20.77,20.12,20.76,20.25,0.51,2.5185,90111.06,185238.937
001872.SZ,20.16,20.48,19.91,20.25,20.16,0.09,0.4464,69219.31,139066.572
001872.SZ,19.9,20.21,19.87,20.16,19.91,0.25,1.2557,54139.0,108920.006
001872.SZ,19.9,20.08,19.86,19.91,19.9,0.01,0.0503,44239.0,88378.456
001872.SZ,19.63,19.91,19.56,19.9,19.75,0.15,0.7595,44488.57,87739.336
001872.SZ,19.66,20.05,19.5,19.75,19.64,0.11,0.5601,63472.52,125452.634
001872.SZ,19.91,20.09,19.57,19.64,19.9,-0.26,-1.3065,63127.16,124836.67
001872.SZ,20.7,20.85,19.89,19.9,20.76,-0.86,-4.1426,109801.09,222675.971
001872.SZ,20.74,20.85,20.5,20.76,20.91,-0.15,-0.7174,95665.63,197911.732
001872.SZ,20.84,21.01,20.56,20.91,21.2,-0.29,-1.3679,149236.66,309299.958
001872.SZ,21.99,21.99,20.55,21.2,22.14,-0.94,-4.2457,221010.45,466522.506
001872.SZ,21.5,22.59,21.08,22.14,20.54,1.6,7.7897,328171.16,717352.111
001872.SZ,20.32,20.81,19.86,20.54,20.32,0.22,1.0827,118572.62,243793.212
001872.SZ,20.04,20.39,19.9,20.32,20.03,0.29,1.4478,104874.93,212592.614
001872.SZ,19.95,20.08,19.81,20.03,20.03,0.0,0.0,45650.5,91085.546
001872.SZ,19.95,20.22,19.84,20.03,19.93,0.1,0.5018,72636.69,145539.952
001872.SZ,20.1,20.2,19.8,19.93,20.26,-0.33,-1.6288,72951.16,145577.901
001872.SZ,20.76,20.88,20.13,20.26,20.65,-0.39,-1.8886,114947.98,234938.789
001872.SZ,20.27,20.65,20.1,20.65,20.44,0.21,1.0274,76574.22,156730.932
001872.SZ,20.6,20.72,20.36,20.44,20.6,-0.16,-0.7767,70723.04,145273.959
001872.SZ,20.48,20.65,20.35,20.6,20.55,0.05,0.2433,90379.06,185379.457
001872.SZ,20.26,20.57,19.97,20.55,20.31,0.24,1.1817,84276.55,171461.691
001872.SZ,20.46,20.49,20.08,20.31,20.41,-0.1,-0.49,87032.0,176553.642
001872.SZ,20.79,20.8,20.2,20.41,20.8,-0.39,-1.875,73886.8,150800.987
001872.SZ,21.1,21.19,20.64,20.8,21.15,-0.35,-1.6548,66511.0,138788.742
001872.SZ,21.31,21.34,20.99,21.15,21.31,-0.16,-0.7508,49808.41,105233.016
001872.SZ,21.22,21.32,20.85,21.31,21.21,0.1,0.4715,55482.01,117167.397
001872.SZ,21.53,21.54,21.11,21.21,21.5,-0.29,-1.3488,73340.2,155965.001
001872.SZ,21.59,21.62,21.36,21.5,21.59,-0.09,-0.4169,36732.0,78802.037
001872.SZ,21.65,21.82,21.5,21.59,21.63,-0.04,-0.1849,69082.04,149398.596
001872.SZ,22.03,22.09,21.41,21.63,22.04,-0.41,-1.8603,102999.78,222613.606
001872.SZ,22.4,22.46,21.76,22.04,21.62,0.42,1.9426,96182.15,212089.716
001872.SZ,21.4,21.98,21.19,21.62,21.46,0.16,0.7456,69388.13,149254.442
001872.SZ,22.4,22.49,21.42,21.46,22.36,-0.9,-4.025,90317.76,197260.249
